commit	val_bpb	memory_gb	status	description	delta	strategy	rationale
e011d39	1.224576	22.6	keep	baseline unmodified train.py	0.000	BASELINE	fresh start; establish val_bpb reference
40c769d	1.768754	22.6	discard	WARMUP_RATIO 0 to 0.05	0.000	GUARD	negative lrm from bad progress when dt glitches; val_bpb worse than baseline
bbd4cff	1.741078	22.6	discard	compact SDPA/MLP/polar tuple trim prints	0.600	SIMPLIFY	0.3<=delta<=0.7 per cyber-taoist; val_bpb worse than best 1.224576
2226011	1.662680	22.1	discard	full L window + 2:1 GQA	0.734	BREAK	delta>0.7 stagnation; still worse than best 1.224576
5770830	1.560540	22.6	discard	LOGITS_SOFTCAP 30 MATRIX_LR 0.055 FINAL_LR_FRAC 0.08	0.800	BREAK	delta=0.80 before iter; clean re-run SSSL; worse than 1.224576
8afcd37	1.682727	22.6	discard	WEIGHT_DECAY 0.2 to 0.10	0.840	BREAK	high stagnation delta; worse than best 1.224576
0255988	1.548787	18.5	discard	SwiGLU MLP 2d hidden replacing ReLU^2	0.867	BREAK	delta>0.7; fundamental FFN change; worse than best 1.224576
0506f83	0.000000	0.0	crash	perf_counter step timing for budget	0.886	BREAK	OOM during evaluate_bpb after training; no val line
5ce05af	1.103346	11.4	keep	torch.compile(model, dynamic=False)	0.900	BREAK	δ>0.7 stagnation; compile raises effective steps in fixed 300s wall budget
a59554c	1.564241	11.4	discard	trim comments; dt=max(t1-t0,1e-9) for WSL	0.622	SIMPLIFY	0.3≤δ≤0.7 cyber-taoist; worse than best 1.103346
3c5bdb3	1.136428	11.4	discard	comment/docstring trim only (no timing change)	0.640	SIMPLIFY	0.3≤δ≤0.7; worse than best 1.103346
ad7a072	1.145587	11.4	discard	unify polar express loop in muon_step_fused	0.520	SIMPLIFY	S=RR=0.9 ID=2.0 δ=0.52 rule4; math-preserving refactor; worse than best 1.103346
405563b	1.156011	11.4	discard	inline Muon momentum and weight-decay in training loop	0.520	SIMPLIFY	same δ; remove tiny schedule helpers; worse than best 1.103346
227d6ea	1.156011	11.4	discard	EMBEDDING_LR 0.72 MATRIX_LR 0.055	0.720	BREAK	S=RR=0.9 ID=1.0 δ=0.72 rule3; higher Adam/Muon LRs; worse than best 1.103346
62da745	1.190858	17.4	discard	DEPTH 8 to 10 under compile + fixed 300s budget	0.720	BREAK	δ>0.7 stagnation; more layers; val_bpb worse than best 1.103346
a49498f	1.141404	11.4	discard	unify Muon polar-express loop; trim docstrings	0.520	SIMPLIFY	δ=0.52 rule4; math-preserving refactor; val_bpb worse than best 1.103346
6e17242	0.000000	0.0	crash	DEVICE_BATCH_SIZE 32->64; no val line in run.log (likely eval OOM or abort)	0.720	BREAK	δ>0.7; prior last-10; throughput trial incomplete
0ff1f46	1.147709	11.4	discard	TF32 + cudnn.benchmark for matmul throughput	0.720	BREAK	δ>0.7 stagnation; more steps but val_bpb worse than best 1.103346
ef06243	1.088809	11.4	keep	perf_counter + clamp dt for monotonic 300s budget (WSL)	0.720	BREAK	δ>0.7; fixes WSL clock skew/negative dt; val_bpb improved vs best 1.103346
75b4f13	0.000000	0.0	crash	label smoothing 0.06 (train CE); CUDA OOM 2GiB vocab CE	0.877	BREAK	δ>0.7; full-vocab CE extra memory vs baseline; reverted to ef06243
12d5100	1.183814	11.4	discard	RoPE base 25000 explicit in GPTConfig	0.877	BREAK	δ>0.7 per last-10; unlogged HEAD run; val_bpb worse than best 1.088809; reset to ef06243
180bdf0	2.284406	11.4	discard	tie wte+lm_head; blended Adam LR; retie after to_empty	0.877	BREAK	δ>0.7; weight tying + optimizer dedupe; val_bpb far worse than best 1.088809; reset to 93afa81
e7daee9	1.098313	11.0	discard	2:1 GQA n_kv_head=n_head//2 SSSL+compile	0.877	BREAK	δ>0.7 stagnation; throughput up but val_bpb worse than best 1.088809; reset ef06243
a34e26a	1.092707	11.4	discard	WARMDOWN 0.35 FINAL_LR_FRAC 0.12 SSSL only	0.877	BREAK	δ>0.7; schedule tail change; val_bpb worse than best 1.088809; reset ef06243
221ac11	1.814130	11.6	discard	EMA decay=0.998 for eval-only val_bpb	0.877	BREAK	δ>0.7 stagnation; EMA+compile likely param zip mismatch or poor EMA; val_bpb worse than best 1.088809; reset ef06243
d7574c7	0.000000	0.0	crash	logits softcap 15->20	0.877	BREAK	run stopped mid-training (~step66) no val line; reset ef06243
7015080	1.094256	12.5	discard	MLP FFN hidden 4x->5x (ReLU^2)	0.877	BREAK	δ>0.7 per last-10; capacity BREAK; val_bpb worse than best 1.088809; reset ef06243
fbad485	1.084609	8.8	keep	ASPECT_RATIO 48 + cap step dt 45s (WSL budget)	0.877	BREAK	δ≈0.88; narrower model + stable budget accounting; val_bpb improved vs 1.088809
8b35d08	1.078858	8.8	keep	TOTAL_BATCH_SIZE 2^18 (4 microsteps vs 8)	0.800	BREAK	δ≈0.80; more optimizer steps per 300s; val_bpb improved vs 1.084609
7e68f59	0.000000	0.0	crash	clip_grad_norm 1.0 before step (compiled model)	0.733	BREAK	δ≈0.73; run died ~step35 no val/trace; reset 8b35d08
ef821ce	1.079109	8.8	discard	WINDOW_PATTERN L full attention all layers	0.813	BREAK	S=RR=0.8 ID≈0.14 δ≈0.81 rule3; full L vs SSSL; val_bpb worse than best 1.078858; reset 8b35d08
12d1538	1.078727	8.8	keep	logits softcap 15 to 12	0.813	BREAK	δ>0.7 stagnation; tighter tanh cap; val_bpb improved vs best 1.078858
cfc2946	1.077716	8.8	keep	WEIGHT_DECAY 0.2 to 0.16 (Muon)	0.737	BREAK	δ>0.7 before iter; lower Muon base WD; val_bpb improved vs 1.078727
c8dc1a2	1.134682	8.8	discard	inline has_ve; trim section comments/docstrings	0.657	SIMPLIFY	δ in [0.3,0.7] rule4; math-preserving trim; val_bpb worse than best 1.077716; reset to cfc2946
a043549	1.078559	8.8	discard	trim section banners; tuple SDPA transpose; one-line param print	0.657	SIMPLIFY	rule4; bytecode-equivalent cleanup; val_bpb worse than best 1.077716; reset cfc2946
0f2f796	1.077932	8.8	discard	GPT.head_dim dedupe; os.environ dict; compact section headers; param print join	0.657	SIMPLIFY	rule4 0.3≤δ≤0.7; math-preserving line reduction; val_bpb worse than best 1.077716; reset cfc2946
9be368a	1.078035	8.8	discard	remove dead startup_time + eval/summary comments	0.657	SIMPLIFY	rule4; zero-behavior cleanup; val_bpb worse than best 1.077716; reset cfc2946
0516dd8	1.078111	8.8	discard	AdamW list-comp + one-line polar tuple	0.657	SIMPLIFY	δ in [0.3,0.7] rule4; line-count reduction; val_bpb worse than best 1.077716; reset cfc2946
1762771	1.078127	8.8	discard	logits softcap 12 to 10	0.737	BREAK	δ>0.7 stagnation; tighter cap trial; val_bpb worse than best 1.077716; reset cfc2946
d18b5fa	1.077005	8.8	keep	warmdown 0.55 final_lr_frac 0.06	0.835	BREAK	δ>0.7; longer LR tail + mild floor; val_bpb improved vs 1.077716
e653af3	1.077412	8.8	discard	MATRIX_LR 0.04 to 0.045 Muon	0.754	BREAK	δ>0.7 after d18b5fa keep; val_bpb worse than best 1.077005; reset d18b5fa
a32cd96	1.076415	8.8	keep	WEIGHT_DECAY 0.16 to 0.14 (Muon base)	0.754	BREAK	δ>0.7 before run; lower scheduled Muon WD cap; val_bpb improved vs best 1.077005
22dc4f7	1.076415	8.8	discard	merge gc/math/time imports one line	0.673	SIMPLIFY	0.3≤δ≤0.7 rule4; val_bpb equal to best 1.076415; reset a32cd96
7360f8e	1.076415	8.8	discard	FINAL_LR_FRAC 0.06 to 0.05	0.834	BREAK	δ>0.7; lower schedule floor; val_bpb equal to best 1.076415; reset a32cd96
2645a67	1.077208	8.8	discard	logits softcap 12 to 11	0.834	BREAK	δ>0.7; tighter cap; val_bpb worse than best 1.076415; reset a32cd96
be6e2c0	1.089990	8.8	discard	MLP ReLU^2 to GELU (4x FFN unchanged)	0.833	BREAK	δ>0.7 cyber-taoist; activation change; val_bpb worse than best 1.076415; reset a32cd96
d3c22c7	1.073874	8.8	keep	RoPE base 50k in _precompute_rotary_embeddings	0.833	BREAK	δ>0.7 per last-10; position-encoding BREAK; val_bpb improved vs best 1.076415
de16edb	1.074685	8.8	discard	MATRIX_LR 0.04 to 0.035 (Muon)	0.622	BREAK	post-RoPE-keep LR tweak; val_bpb worse than best 1.073874; reset d3c22c7
c7f435e	1.074046	8.8	discard	strip section banners/comments; drop unused startup_time	0.622	SIMPLIFY	δ in [0.3,0.7] rule4; bytecode-equivalent line reduction; val_bpb worse than best 1.073874; reset d3c22c7
094c080	1.086323	12.8	discard	DEPTH 8 to 9 (512-dim 9-layer BREAK)	0.760	BREAK	δ=0.76>0.7 rule3; deeper stack; val_bpb worse than best 1.073874; reset d3c22c7
683a6e7	1.079464	8.8	discard	HEAD_DIM 128 to 64 (6 heads vs 3 at d_model 384)	0.821	BREAK	δ>0.7 stagnation; multi-head geometry BREAK; val_bpb worse than best 1.073874; reset d3c22c7
fe2482b	1.073743	8.8	keep	RoPE base 50k to 100k	0.821	BREAK	δ>0.7 stagnation; higher RoPE theta; val_bpb improved vs 1.073874
42003b3	1.073533	8.8	keep	RoPE base 100k to 200k	0.822	BREAK	δ>0.7; continue RoPE theta; val_bpb improved vs 1.073743
f4b1f0b	1.072668	8.8	keep	RoPE base 200k to 400k	0.748	BREAK	δ>0.7 before run; continue RoPE; val_bpb improved vs 1.073533
76a3805	1.072850	8.8	discard	SIMPLIFY merge imports strip banners compact param print drop startup_time	0.654	SIMPLIFY	rule4 0.3≤δ≤0.7; bytecode-style cleanup; val_bpb worse than best 1.072668; reset f4b1f0b
f649b18	1.072892	8.8	discard	SIMPLIFY remove section banner comments only	0.654	SIMPLIFY	rule4 δ≈0.65; comment-only line reduction; val_bpb worse than best 1.072668; reset f4b1f0b
1f3b1f4	1.073554	8.8	discard	RoPE base 400k to 800k	0.735	BREAK	δ>0.7 after two SIMPLIFY discards; continue RoPE ladder; val_bpb worse than best 1.072668; reset f4b1f0b
10b5bac	1.074345	8.8	discard	RoPE base 400k to 600k	0.754	BREAK	δ>0.7 stagnation; theta interp before 800k; val_bpb worse than best 1.072668; reset f4b1f0b
dbd51c0	1.074262	8.4	discard	MLP FFN width 4*n to 7*n//2 (3.5x)	0.752	BREAK	δ>0.7; capacity tweak; val_bpb worse than best 1.072668; reset f4b1f0b
da8eba6	1.072206	8.8	keep	RoPE theta 400k to 450k	0.752	BREAK	δ>0.7 stagnation; θ between best 400k and failed 600k; val_bpb improved vs 1.072668
6ef0e6c	1.210325	8.8	discard	SIMPLIFY trim banners/comments; compact MLP/SDPA/env; restore Muon polar loops	0.673	SIMPLIFY	0.3≤δ≤0.7 rule4; val_bpb worse than best 1.072206; reset to da8eba6
c9b34b7	1.072496	8.8	discard	compact module doc; gc,math,time import; dead startup_time; trim docstrings	0.671	SIMPLIFY	δ≈0.67 rule4; 650→640 lines math-preserving; val_bpb worse than best 1.072206; reset da8eba6
