commit	val_bpb	memory_gb	status	description	delta	strategy	rationale
c110667	1.166166	22.6	keep	baseline unmodified train.py	0.000	BASELINE	fresh start; establish reference val_bpb and peak VRAM
b3d3c57	1.172007	22.6	discard	MATRIX_LR 0.04 to 0.043	0.200	GUARD	delta=0.20 lt theta_guard; incremental Muon LR hurt val_bpb vs baseline
785ba37	1.186324	22.2	discard	remove value embeddings and VE gates	0.600	SIMPLIFY	delta=0.60 in guard-break band; code shrink; val_bpb worse vs baseline
6ae2bce	1.621793	20.1	discard	SwiGLU FFN 8/3 hidden	0.733	BREAK	delta=0.733 S=0.667 RR=0.667 ID=0 SwiGLU BREAK
eaead4a	1.197017	11.4	discard	torch.compile full-graph model	0.800	BREAK	delta=0.80 compile for throughput; val_bpb worse vs baseline 1.166
cdb4752	1.168380	22.6	discard	RoPE base 10000 to 50000	0.840	BREAK	delta=0.84; slight regression vs baseline 1.166
b5f1ff0	1.254918	18.6	discard	MLP GELU tanh-approx vs ReLU squared	0.867	BREAK	delta=0.867; large val_bpb regression
d3181ee	1.287611	22.6	discard	logits softcap 15 to 25	0.886	BREAK	delta=0.886; stronger logit cap hurt val_bpb
ef91aa5	1.173963	22.1	discard	GQA n_kv_head = n_head // 2	0.900	BREAK	S=0.875 RR=0.875 ID=0 delta=0.90 gt theta_break; GQA regressed vs baseline 1.166
220d2d6	1.168468	22.6	discard	WINDOW_PATTERN LLSS vs SSSL	0.911	BREAK	k=9 S=RR=8/9 ID=0 delta=0.91; LLSS slight regression vs baseline 1.166
62a8a6d	1.192954	22.6	discard	HEAD_DIM 128 to 64 (8 heads)	0.920	BREAK	k=10 S=RR=0.90 ID=0 delta=0.92; more heads/smaller head_dim hurt val_bpb vs 1.166
1364771	1.295110	26.3	discard	ASPECT_RATIO 64 to 72 (640-dim 5-head)	1.000	BREAK	delta=1.0 S=1.0 RR=1.0 ID=0; wider model; val_bpb worse vs baseline 1.166
52824c2	1.274886	20.8	discard	DEPTH 8 to 7 (47M params)	1.000	BREAK	delta=1.0; shallower 7L 512-dim; val_bpb worse vs baseline 1.166
9ee774c	0.000000	0.0	crash	DEVICE_BATCH_SIZE 32 to 64	1.000	BREAK	log ended ~step8 no val_bpb; likely OOM/kill; reset baseline
7ca528f	1.282658	22.6	discard	cudnn benchmark + WARMUP 3pct + progress clamp to [0,1]	1.000	BREAK	δ=1.0 S=1 RR=1 ID=0; negative progress broke warmup LRM without clamp; fixed then ran; val_bpb worse vs baseline 1.166
e25e9a0	1.179534	22.6	discard	WARMDOWN_RATIO 0.5 to 0.48	1.000	BREAK	δ=1.0; longer full-LR plateau; val_bpb worse vs baseline 1.166166
8625c38	1.131210	15.8	keep	DEPTH9 ASPECT56 512-dim 4-head deeper stack	1.000	BREAK	δ=1.0 S=1 RR=1 ID=0 θg=0.3 θb=0.7; 9L improves val_bpb vs baseline 1.166166
d419bbb	1.267329	24.4	discard	WINDOW_PATTERN L full attention all layers	0.720	BREAK	δ=0.72 gt θb=0.7; full L regresses vs best 1.131; higher VRAM
4c3b8ca	1.366179	24.4	discard	TOTAL_BATCH_SIZE 786432 12 grad accum	0.720	BREAK	δ=0.72; larger global batch hurts val_bpb vs best 1.131
7fbe516	1.300469	24.4	discard	FINAL_LR_FRAC 0.08 after warmdown	0.720	BREAK	δ=0.72; nonzero final LR floor hurt vs best 1.131
5cfe154	1.264704	26.1	discard	DEPTH 10 ASPECT_RATIO 51 same 512-dim width	0.720	BREAK	δ=0.72 S=0.9 RR=0.9 ID=1.0; 10L worse vs best 1.131210; reset 8625c38
f35c7b2	1.227912	24.4	discard	TOTAL_BATCH_SIZE 2**18 grad_accum 4	0.720	BREAK	δ=0.72; half global batch vs 2**19; worse val_bpb vs best 1.131; reset 8625c38
19666c4	1.173482	24.4	discard	SIMPLIFY strip comments/banners compact prints	0.640	SIMPLIFY	0.3≤δ=0.64≤0.7; 600 lines vs init 648; no train logic change; worse vs best 1.131; reset 8625c38
34b3d69	1.374992	24.4	discard	RoPE base 12500 + WARMUP_RATIO 0.04	0.720	BREAK	δ=0.72>θb=0.7 k=10; mild RoPE stretch+warmup; val_bpb worse vs best 1.131210; reset 8625c38
6608514	1.251458	24.4	discard	LOGIT_SOFTCAP 12.0 vs 15	0.720	BREAK	δ=0.72; tighter tanh cap on logits; val_bpb worse vs best 1.131210; reset 8625c38
e2c6448	1.283559	24.4	discard	WEIGHT_DECAY 0.2 to 0.14	0.720	BREAK	δ=0.72; lower Muon WD; val_bpb worse vs best 1.131210; reset 8625c38
e844359	1.171624	24.4	discard	SIMPLIFY merge ve_gate init into block loop	0.520	SIMPLIFY	δ=0.52 S=0.9 RR=0.9 ID=2.0 θg=0.3 θb=0.7; worse vs best 1.131210; reset 8625c38
