commit	val_bpb	memory_gb	status	description	delta	strategy	rationale
c110667	1.272152	22.6	keep	baseline unmodified train.py	0.000	BASELINE	first run; initial train.py 648 lines; establishes val_bpb reference
d4688a9	1.270949	22.6	keep	Muon MATRIX_LR 0.04 to 0.044	0.000	GUARD	δ=0 S=0 RR=0 ID=1 θ_guard=0.3 incremental LR tweak after baseline
51ec902	1.168656	22.6	keep	EMBEDDING_LR 0.6 to 0.63	0.000	GUARD	δ=0 S=0 RR=0 ID=1 three keeps; +5pct token embed Adam LR
b896ec6	0.000000	0.0	crash	UNEMBEDDING_LR +5% run ended before eval	0.200	GUARD	no val_bpb in log; wall-clock dt negative spikes broke time budget; reverted to 51ec902
5a266bb	1.149207	22.6	keep	perf_counter step dt + UNEMBEDDING_LR 0.0042	0.200	GUARD	δ=0.2 S=0.25 RR=0.25 ID=1.0 θ_guard=0.3; monotonic timing + lm_head +5% retry after crash
f75543e	1.149148	22.6	keep	SCALAR_LR 0.5 to 0.525 (+5% resid/x0 Adam)	0.160	GUARD	δ=0.16 S=0.2 RR=0.2 ID=1.0 θ_guard=0.3; incremental scalar LR after stable GUARD streak
d3de0d3	1.148364	22.6	keep	MATRIX_LR 0.044 to 0.0462 (+5% Muon)	0.133	GUARD	δ=0.133 S=RR=1/7 ID=1 θ_guard=0.3; follow-on Muon LR after scalar win
89806be	1.148580	22.6	discard	EMBEDDING_LR 0.63 to 0.65	0.200	GUARD	δ=0.2 S=RR=2/8 ID=1; val_bpb worse than 1.148364; reset to d3de0d3
065afd5	1.161508	22.1	discard	remove resid_lambdas x0_lambdas standard residual	0.345	SIMPLIFY	δ≈0.35 S=0.25 RR=0.25 ID≈0.27 θ_guard=0.3 θ_break=0.7; mid-band SIMPLIFY; val_bpb worse than 1.148364; reset d3de0d3
b708ee7	1.140848	20.6	keep	remove logits softcap raw lm_head output	0.412	SIMPLIFY	δ≈0.41 S=RR=1/3 ID≈0.27 θ_guard=0.3 θ_break=0.7; mid-band SIMPLIFY; val_bpb improved vs 1.148364
1370535	1.139637	20.6	keep	MATRIX_LR 0.0462 to 0.0480 (+3.9% Muon)	0.240	GUARD	δ=0.24 S=0.3 RR=0.3 ID=1 θ_guard=0.3; incremental Muon LR; improved vs 1.140848
1c3837c	1.139637	20.6	discard	SCALAR_LR 0.525 to 0.537 (+2.3% resid/x0 Adam)	0.240	GUARD	δ=0.24 GUARD; val_bpb tied best 1.139637; reset to 1370535
0e8e5b7	1.151044	20.6	discard	fixed Muon momentum 0.95 remove step ramp	0.320	SIMPLIFY	δ=0.32 θ_guard≤δ≤θ_break; code- SIMPLIFY; val_bpb worse vs 1.139637; reset to 1370535
9516fad	1.140069	20.6	discard	merge init_weights loops + VE bf16 in one pass	0.539	SIMPLIFY	δ=0.539 S=RR=0.5 ID≈0.31 θ_guard=0.3 θ_break=0.7 mid-band; refactor -9 lines; val_bpb worse than 1.139637; reset 1370535
7902874	1.139384	20.6	keep	ve_gate input channels 32 to 16	0.600	SIMPLIFY	δ=0.60 mid-band SIMPLIFY; fewer gate params; val_bpb improved vs 1.139637; keep
562892d	1.139384	20.5	discard	unify muon polar-express loop; LR warmup branch clarity	0.576	SIMPLIFY	δ≈0.576 S=RR=0.5 ID≈0.12 θ_guard=0.3 θ_break=0.7 mid-band; val_bpb tied best; reset 7902874
3fb26ef	1.665443	20.5	discard	remove asdict; print GPTConfig repr	0.651	SIMPLIFY	δ≈0.651 S=RR=0.6 ID≈0.15 mid-band; val_bpb worse than log best 1.139384; reset 7902874
1e9b4ca	1.116324	20.7	keep	SwiGLU MLP replace ReLU^2 FFN	0.724	BREAK	δ≈0.724>θ_break 0.7; S=RR=0.7 ID≈0.18; silu(gate)*up FFN; val_bpb improved vs 1.139384
90a31dc	1.118931	20.7	discard	fused w_gate_up Linear for SwiGLU	0.588	SIMPLIFY	δ≈0.59 θ_guard≤δ≤θ_break; fused gate+up; val_bpb worse than 1.116324; reset 1e9b4ca
ce4099b	1.116498	20.7	discard	drop asdict use config repr in print	0.588	SIMPLIFY	δ mid-band; no-train change; val_bpb 1.116498>1.116324; reset 1e9b4ca
693206d	1.370434	20.2	discard	GQA n_kv_head max(1,n_head//2)	0.760	BREAK	δ=0.76>θ_break 0.7; half KV heads; val_bpb worse vs 1.116324; reset 1e9b4ca
cc5c805	0.000000	0.0	crash	RoPE base 500000 train killed before eval	0.840	BREAK	δ=0.84 BREAK; process exited mid-run twice no val_bpb; reset 1e9b4ca
9741b86	1.564573	20.7	discard	cudnn.benchmark True fixed-shape steps	0.840	BREAK	δ=0.84 BREAK; val_bpb catastrophic vs 1.116324; reset 1e9b4ca
52a66d4	1.116204	20.7	keep	WINDOW_PATTERN LLLL full attention all layers	0.840	BREAK	δ=0.84>θ_break; LLLL vs SSSL; val_bpb 1.116204 improved vs 1.116324; keep
d293ca4	1.116550	20.7	discard	unify polar-express loop; drop asdict print	0.660	SIMPLIFY	δ≈0.66 θ_guard≤δ≤θ_break mid-band SIMPLIFY -5 lines; val_bpb 1.116550>1.116204 vs best; reset 52a66d4
6e729ad	1.122258	22.7	discard	SwiGLU FFN hidden 5x n_embd was 4x	0.691	BREAK	δ≈0.69>θ_break 0.7; more FFN capacity; val_bpb worse vs 1.116204; VRAM +2GB; reset 52a66d4
b4b907a	0.000000	0.0	crash	torch.compile(model) SM12 run killed mid-train no val_bpb	0.840	BREAK	δ=0.84>θ_break; compile unstable/recompile stalls on Blackwell; reset 52a66d4
881a421	1.154001	13.9	discard	DEPTH 9 n_embd 640 DEVICE_BATCH 16 same token batch	0.840	BREAK	δ=0.84 BREAK; val_bpb 1.154>best 1.116204; reset 52a66d4
5549d00	1.150139	24.5	discard	ASPECT_RATIO 72 n_embd 640 at depth 8	0.920	BREAK	δ≈0.92 BREAK; val_bpb 1.150>1.116204; peak VRAM +10GB vs best; reset 52a66d4
55dfddf	1.118160	20.7	discard	MLP GEGLU (gelu gate) replace SwiGLU	0.918	BREAK	δ≈0.918 S=RR=0.9 ID≈0.008 θ_break=0.7; val_bpb 1.118160>1.116204; reset 52a66d4
68205eb	1.195407	20.7	discard	TOTAL_BATCH_SIZE 2^19 to 2^20 grad_accum 16	0.918	BREAK	δ≈0.918 BREAK; val_bpb 1.195>>1.116204; reset 52a66d4
81fa8f6	1.113659	20.7	keep	WARMDOWN_RATIO 0.40 FINAL_LR_FRAC 0.08 LR tail schedule	0.918	BREAK	δ=0.918 S=0.9 RR=0.9 ID≈0.009 θ_break=0.7; plateau+cosine floor 8% vs 0; val_bpb improved vs 1.116204
07d0ede	1.128357	20.7	discard	WARMUP_RATIO 0.05 linear LR warmup first 5% budget	0.820	BREAK	δ≈0.820 S=0.8 RR=0.8 ID≈0.10 θ_break=0.7; val_bpb worse vs 1.113659; reset 81fa8f6
10927c6	1.129926	20.7	discard	train-only LABEL_SMOOTHING 0.05 eval hard CE	0.820	BREAK	δ≈0.820 same window; val_bpb 1.129926>1.113659; reset 81fa8f6
9cb4f83	1.131047	20.7	discard	HEAD_DIM 64 (8 heads) vs 128 at n_embd 512	0.920	BREAK	δ=0.92>θ_break; more heads; val_bpb 1.131047>1.113659 best; reset 81fa8f6
6449a01	1.119685	21.2	discard	RESID_DROPOUT 0.05 on attn and mlp branches (train-only)	0.700	BREAK	δ≈0.70≥θ_break; commit existed ahead of log; val_bpb 1.119685>best 1.113659; reset 81fa8f6
1400bba	1.744427	40.6	discard	DEVICE_BATCH_SIZE 32 to 64 grad_accum 8 to 4 same TOTAL_BATCH	0.700	BREAK	δ≈0.70 BREAK; microbatch 2x slowed steps ~230→38 in 300s wall; val_bpb catastrophic; VRAM spike; reset 81fa8f6
0e42bcb	1.144577	24.4	discard	ASPECT_RATIO 65 n_embd 640 (depth*65→640 dim)	0.702	BREAK	δ≈0.702>θ_break 0.7 S=0.9 RR=0.9 ID≈1.09; wider model; val_bpb 1.144577>best 1.113659; reset 81fa8f6
5188ca4	1.114173	20.7	discard	FINAL_LR_FRAC 0.08 to 0.05 lower cosine tail	0.702	BREAK	δ≈0.702>θ_break; val_bpb 1.114173>best 1.113659; reset 81fa8f6
6fe451e	1.114173	20.7	discard	WARMDOWN_RATIO 0.40 to 0.45 longer plateau	0.702	BREAK	δ≈0.702>θ_break; val_bpb 1.114173>best 1.113659 (tie prev run); reset 81fa8f6
468a7bf	1.118400	20.7	discard	Muon ns_steps 5 to 4 polar express	0.702	BREAK	δ≈0.702>θ_break; val_bpb 1.118400>best 1.113659; reset 81fa8f6
fa6b6e2	1.118400	20.7	discard	tie lm_head.weight to wte; drop separate lm_head Adam	1.000	BREAK	δ=1.0 S=RR=1.0 last10 no keep ID=0; params 58.7M; val_bpb 1.118400>1.113659; reset 81fa8f6
