commit	val_bpb	memory_gb	status	description	delta	strategy	rationale
e011d39	1.232550	22.6	keep	unmodified baseline (first run)	0.000	BASELINE	protocol: establish reference val_bpb and checkpoint
ffb4056	1.232550	22.6	discard	EMBEDDING_LR 0.6->0.625 (Adam wte/VE)	0.200	GUARD	delta=0.20<0.3 per static CT; val_bpb tied baseline so revert
3542d9f	1.264318	22.6	discard	remove torch.compile on fused AdamW/Muon steps	0.600	SIMPLIFY	0.3<=δ<=0.7 simplify path; val_bpb worse vs baseline 1.23255
7387be4	1.140281	18.6	keep	MLP activation ReLU^2 -> SiLU	0.733	BREAK	δ>0.7 required BREAK; val_bpb improved vs 1.23255, lower VRAM
a9ab677	1.158190	18.6	discard	extract sdpa_causal_gqa helper; remove stale compile comment	0.400	SIMPLIFY	δ=0.40 (S=0.5 RR=0.5 ID=1.0); 0.3–0.7 SIMPLIFY path; val_bpb worse vs best 1.140281
29d4a38	1.158190	18.6	discard	compress estimate_flops sum; drop has_ve docstring	0.480	SIMPLIFY	δ=0.48 (S=0.6 RR=0.6 ID=1.0); val_bpb ~1.158 vs best 1.140281 (tie to prior discard run)
47380ce	1.143481	18.6	discard	merge init_weights loops (ve_gate+VE bf16)	0.533	SIMPLIFY	δ=0.53 (S=RR=2/3 ID=1.0); 0.3–0.7 simplify path; val_bpb worse vs best 1.140281
03e9f49	1.143481	18.6	discard	one-line polar_express_coeffs tuple	0.571	SIMPLIFY	δ=0.57 (S=RR=5/7 ID=1.0); val_bpb worse vs best 1.140281
c9b19e0	1.195310	18.6	discard	shorten module docstring	0.600	SIMPLIFY	δ=0.60 (S=RR=6/8 ID=1.0); val_bpb worse vs best 1.140281
1b8db0d	1.232575	18.6	discard	SIMPLIFY strip banners/comments; run skewed by WSL clock	0.622	SIMPLIFY	δ=0.62 in [0.3,0.7]; negative time.time dt shortened effective train (84M tok)
594f578	1.136607	18.6	keep	perf_counter for step dt; remove dead compile comment	0.640	SIMPLIFY	δ=0.64; fixes WSL wall-clock skew; val_bpb improved vs best 1.140281
2238c49	1.171757	23.0	discard	DEPTH 8→9 (n_layer=9, n_embd=640, ~81M params)	0.640	BREAK	δ=0.64 (S=RR=0.8 ID=1); prior commit tested deeper/wider stack vs best 1.136607; val_bpb worse → revert
ef56794	1.136488	18.6	keep	shorter module doc; compact section headers; inline has_ve note	0.640	SIMPLIFY	δ=0.64; pure formatting/doc trim (−15 LOC); val_bpb 1.136488 vs prior best 1.136607
76c1103	1.136508	18.6	discard	drop unused startup_time and t_start_training	0.640	SIMPLIFY	δ=0.64 mid-band; val_bpb 1.136508 noise-worse than best 1.136488 → revert
9d6ee70	1.123556	20.6	keep	SwiGLU MLP (hidden 3*n_embd) replaces SiLU 4x FFN	0.828	BREAK	δ≈0.83>0.7; val_bpb improved vs 1.136488; VRAM +~2GB acceptable
3e4ac53	1.123104	20.6	keep	RoPE base 500000 (was 10000)	0.719	BREAK	δ≈0.72>0.7; val_bpb improved vs 1.123556; peak VRAM unchanged vs SwiGLU run
5d13b55	1.122890	20.6	keep	SIMPLIFY: strip section banners, merge ve_gate init, tuple polar coeffs, drop dead startup_time	0.522	SIMPLIFY	δ≈0.52 in [0.3,0.7]; S=RR=0.6, ID≈0.79; −25 LOC vs prior; val_bpb improved vs 1.123104
