commit	val_bpb	memory_gb	status	description
d340c27	1.153057	22.6	keep	baseline after perf_counter timing fix (SM120 SDPA)
69ae21c	0.000000	0.0	crash	LLLL full attention: run died ~step38 no val_bpb (likely OOM/kill)
c4520fe	1.081812	11.4	keep	torch.compile(model); setsid+run_setsid.log (WSL job survived)
6ea832e	1.106067	15.8	discard	DEPTH=9 n_embd=640 (80.9M params); val_bpb worse than c4520fe
f8642e6	1.096704	22.3	discard	DEVICE_BATCH_SIZE=64; 386 steps but val_bpb worse than c4520fe
2548ede	1.090358	11.4	discard	WARMUP_RATIO=0.05; val_bpb worse than c4520fe
8cd8813	1.080414	11.4	keep	FINAL_LR_FRAC=0.05; best val_bpb so far
fa2d4bc	1.080914	11.4	discard	WARMDOWN_RATIO 0.5->0.42 (more full-LR time); slightly worse val_bpb
45d7bc9	1.080296	11.4	keep	FINAL_LR_FRAC 0.05->0.07; new best val_bpb
57c0b7a	1.085787	11.0	discard	GQA n_kv_head half of n_head (4->2); worse than 45d7bc9
440abeb	1.080075	11.4	keep	FINAL_LR_FRAC 0.07 to 0.075; new best val_bpb
adb84dc	1.079947	11.4	keep	EMBEDDING_LR 0.6 to 0.62; new best val_bpb
2a23276	1.079412	11.4	keep	MATRIX_LR 0.04 to 0.043 (Muon); new best val_bpb
c806aca	1.077839	11.4	keep	UNEMBEDDING_LR 0.004 to 0.0045; new best val_bpb
a044bbe	1.077564	11.4	keep	UNEMBEDDING_LR 0.0045 to 0.0047; new best val_bpb
60d394a	1.077115	11.4	keep	MATRIX_LR 0.043 to 0.044 (WSL nohup run, log catch-up)
8b14735	1.077447	11.4	discard	MATRIX_LR 0.044 to 0.045; worse than 60d394a
d554352	1.077659	11.4	discard	SCALAR_LR 0.5 to 0.52; worse than 60d394a
7426e92	1.077305	11.4	discard	WEIGHT_DECAY 0.2 to 0.19; worse than 60d394a
be6acbe	1.076987	11.4	keep	EMBEDDING_LR 0.62 to 0.625 (wte/VE Adam); new best val_bpb
ff5803c	1.077028	11.4	discard	EMBEDDING_LR 0.625 to 0.627 (Adam wte/VE); slightly worse than be6acbe
c18467a	1.077082	11.4	discard	UNEMBEDDING_LR 0.0047 to 0.00485 (lm_head Adam); worse than be6acbe
4351475	1.077581	11.4	discard	MATRIX_LR 0.044 to 0.0435 (Muon); worse than be6acbe
d60801b	1.077576	11.4	discard	UNEMBEDDING_LR 0.0047 to 0.0046 (lm_head Adam); worse than be6acbe
d8f3d62	1.077805	11.4	discard	logits softcap 15 to 16; worse than be6acbe
0d94860	1.077188	11.4	discard	FINAL_LR_FRAC 0.075 to 0.074; worse than be6acbe
4d5d5ad	1.077535	11.4	discard	RoPE base 10000 -> 50000; worse than be6acbe (1.076987)
4937eb5	1.079132	11.4	discard	Adam beta1 0.8 to 0.85 (AdamW); worse than be6acbe baseline
c9a2c1c	1.077039	11.4	discard	Muon MATRIX_LR 0.044 to 0.0442; slightly worse than be6acbe
4a162dc	1.077294	11.4	discard	FINAL_LR_FRAC 0.075 to 0.076; worse than be6acbe
